school,college,department,track,deadline,quota,assessment_weights,other_req,docs_required,interview_required,written_exam_required,link_apply,note,,,,,,,,,,,,,
國立政治大學,教育學院,幼兒教育研究所,,2025/10/14,8,,,"1. 考生基本資料表(請於本所網站下載)。
2. 學業成績單。
3. 其他有利審查資料：語文檢定證明、教師證書、研究發表或獲獎、相關工作經驗、資訊能力或其他傑出表現等，無則免附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,教育學院,教育行政與政策研究所,,2025/10/14,7,,,"1. 考生基本資料表(請至本所網頁下載使用)。
2. 學業成績單。
3. 其他有利審查資料(無則免附)。",,,"https：//www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,教育學院,輔導與諮商碩士學位學程,,2025/10/14,5,,,"1. 考生資料表:請至本學程網站下載填寫。
2. 研究計畫:以 10 頁為限。
3. 學歷證明文件(最高學歷畢業證書，應屆畢業生，請附已蓋註冊章戳之學生證或在學證明)。
4. 學業成績證明:歷年成績單總表及學業成績總平均排名證明，持研究所或境外學歷者，得免附排名證明。
5. 其他有利審查資料:如已獲補助之研究計劃、參與研究、著作發表、學術成就、輔導實務經驗、外語檢定考試或其他傑出表現及得獎證明等。",,,"https：//www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,政治學系,,2025/10/14,9,,,"1. 自傳。
2. 歷年成績單總表(需加蓋學校校印或教務處章戳)。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料(至少一件)：如學術著作、研究報告或成果等。
5. 推薦信 2 份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會學系,,2025/10/14,12,,,"1. 考生基本資料表(請至本系網頁點選招生資訊/碩士班下載)。
2. 研究計畫。
3. 自傳。
4. 歷年成績單總表(持研究所學歷者,需同時附大學及研究所成績單總表)。
5. 其他有利審查資料：如社團經歷、工作經驗、語言成績、全國性比賽獲獎
證書等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,財政學系,,2025/10/14,18,,,"1. 學業成績總平均排名證明。 
2. 歷年成績單總表。 
3. 自傳。 
4. 讀書計畫:包含進修動機、研究興趣及生涯發展規劃等。 
5. 其他有利審查資料:如國科會暑期專題計畫、學術著作、獎學金證明、 GRE 或 TOEFL 成績、研究報告等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,公共行政學系,,2025/10/14,12,,,"1. 考生基本資料表(表格請至公行系網頁「最新消息」下載)。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 英語能力檢定證明(如 TOEIC、TOEFL、全民英檢、IELTS、CSEPT)。
5. 國科會大專學生專題研究計畫(無則免附)。
6. 研究計畫:為報考本次考試所撰寫之學術性研究計畫,內容不得與「學
術論著」重複並至少包括: (1)研究主題 (2)研究動機與目的 (3)研究範
圍與內容 (4)研究方法 (5)參考文獻。
7. 其他有利審查資料:如學術期刊文章、學術研討會文章、公共事務參與、
公益服務、國際交換生經驗、國外遊學經驗、實習經驗等資料及證明文
件。
※請依考生基本資料表內所列順序依序合併裝訂成冊,共一式三份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,公共行政學系,,2025/10/14,2,,,"1. 考生基本資料表(表格請至公行系網頁「最新消息」下載)。
2. 歷年成績單總表。
3. 英語能力檢定證明(如 TOEIC、TOEFL、全民英檢、IELTS、CSEPT)。
4. 國科會大專學生專題研究計畫(無則免附)。
5. 研究計畫:為報考本次考試所撰寫之學術性研究計畫,內容不得與「學
術論著」重複並至少包括:(1)研究主題 (2)研究動機與目的 (3)研究範圍
與內容 (4)研究方法 (5)參考文獻。
6. 其他有利審查資料:如學術期刊文章、學術研討會文章、公共事務參與、
公益服務、個人專業工作成就等資料及證明文件。
7. 服務機關同意報考證明書(表格請至本系網頁「最新消息」下載)。
※請依考生基本資料表內所列順序依序合併裝訂成冊,共一式三份(第 7 項
請提供正本一份及影本二份)。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,地政學系,,2025/10/14,15,,,"1. 考生基本資料表(表格請至本系網頁下載,請繕打資料,並插入親筆簽名
之掃描檔案後,轉檔上傳)。
2. 研究計畫。
3. 學業成績總平均排名證明。
4. 歷年成績單總表。
5. 其他有利審查資料:如已發表之學術著作、社團經驗、工作經驗、語言成
績、全國性比賽獲獎證明書或特殊服務證明等。
※檔案請以 A4 格式製作,並將相關資料掃描或編輯製作成 PDF 檔案上傳。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,經濟學系,,2025/10/14,20,,,"1. 考生基本資料表(請至本系網頁下載使用)。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 研究計畫。
5. 其他有利審查資料:如正式發表的論文著作、國科會大專學生研究計畫
報告、外語檢定證明等。
6. 推薦信 2 份(請至本系網頁下載使用)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,民族學系,,2025/10/14,3,,,"1. 自傳。
2. 學業成績總平均排名證明(非應屆畢業生免附)。
3. 歷年成績單總表。
4. 研究計畫。
5. 學士班畢業生或同等學力應試者,若具有民族事務相關工作經驗(含偏
遠地區教師),或對民族有研究曾發表論文尤佳。
6. 其他有利審查資料:正式發表的著作及論文、田野工作證明、研究助理
證明、民族事務服務證明、少數民族語文能力證明等。
※請依序將第 1 至 6 項資料合併裝訂成冊,共一式五份(第 2 至 3 項請提
供正本一份及影本四份)。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,國家發展研究所,,2025/10/14,5,,,"1. 自傳。
2. 學業成績總平均排名證明(大學成績)。
3. 歷年成績單總表(大學以上)。
4. 研究計畫(含生涯規劃及學習計畫)。
5. 其他有利審查資料:如學術著作、社團經歷、志工經驗、語言成績、獎學
金證明等個人能力或成就之證明文件。
6. 推薦信 2 份(二位推薦人)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,國家發展研究所,,2025/10/14,1,,,"1. 自傳(含個人簡歷、就學、工作經歷)。
2. 歷年成績單總表(大學以上)。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如學術著作、社團經歷、志工經驗、語言成績、獎學
金證明等個人能力或成就之證明文件。
5. 其他:服務機關同意報考證明書(格式請至本所網頁下載)及有效工作
年資證明。
6. 推薦信 2 份(二位推薦人)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,勞工研究所,,2025/10/14,5,,,"1. 自傳。
2. 歷年成績單總表(最高學歷),如持研究所學歷者,需同時附大專及研究
所成績單總表。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如參與研究計畫、修習相關學程(學分、課程)、獎
學金證明、語文能力證明、學術著作、研究報告或成果、社團經驗、工
作經驗等。
※請依序將第 1 至 4 項資料合併裝訂成冊,共一式五份(第 2 項請提供正
本一份及影本四份)。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,勞工研究所,,2025/10/14,2,,,"1. 考生基本資料表(請至本所網頁下載)。
2. 自傳。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如參與研究計畫、修習相關學程(學分、課程)、獎
學金證明、語文能力證明、學術著作、研究報告或成果、社團經驗、工
作經驗等。
5. 學歷證明文件(應考學歷或最高學歷畢業證書,應屆畢業生請檢附在學
證明)。
6. 服務機關同意報考證明書(表格請至本所網頁下載;現職未滿兩年者,
請另繳交足以證明工作年資之文件,如公、勞保投保年資證明)。
7. 推薦信一份(一位推薦人)。
※請依序將第 1 至 6 項資料合併裝訂成冊,共一式五份(第 6 項請提供正
本一份及影本四份),推薦信另附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會工作研究所,,2025/10/14,6,,,"1. 自傳。
2. 研究計畫:包含研究動機、文獻探討及研究方法,字數以五千至一萬字為
限。
3. 歷年成績單。
4. 其他有利審查資料:如社團經歷、工作經驗、語言成績、全國性比賽獲獎
證書等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會工作研究所,甲組,2025/10/14,2,,,"1. 自傳。
2. 研究計畫:包含研究動機、文獻探討及研究方法,字數以五千至一萬字為
限。
3. 歷年成績單。
4. 其他有利審查資料:如工作經驗、證照、獲獎記錄、語言成績、研究報告
等個人能力或成就之證明。
5. 在職證明及年資證明。
6. 推薦信 2 份。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會工作研究所,乙組（原住民）,2025/10/14,1,,,"1. 自傳(含戶口名簿)。
2. 研究計畫:包含研究動機、文獻探討及研究方法,字數以五千至一萬字為
限。
3. 歷年成績單。
4. 其他有利審查資料:如工作經驗、證照、獲獎記錄、語言成績、研究報告
等個人能力或成就之證明。
5. 在職證明及年資證明。
6. 推薦信 2 份。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,國際事務學院,外交學系,,2025/10/14,13,,,"1. 學業成績證明:歷年成績單總表及學業成績總平均排名證明。
2. 讀書計畫(含研究領域及興趣)。
3. 自傳。
4. 其他有利審查資料:如外語優異表現或其他成就證明。
5. 推薦信 2 份(二位推薦人,推薦信請彌封簽名)。
※請依序將第 1 至 4 項資料合併裝訂成冊,共一式五份(第 1 項請提供正
本一份及影本四份),推薦信另附。推薦信及審查資料本系無既定格式。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,國際事務學院,東亞研究所,,2025/10/14,8,,,"1. 自傳。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 研究計畫(含生涯規劃及學習計畫)。
5. 其他有利審查資料:如學術著作、研究報告或成果等。
6. 推薦信 2 份(二位推薦人)。
※請依序將第 1 至 5 項資料合併裝訂成冊,共一式四份(第 2 至 3 項請提
供正本一份及影本三份),推薦信另附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,國際事務學院,俄羅斯研究所,,2025/10/14,6,,,"1. 歷年成績單總表(須加蓋學校校印或教務處章戳)。
2. 學業成績總平均排名證明。
3. 自傳(含生涯規劃及學習計畫)。
4. 俄語或其他外語能力證明(檢定證書或修課證明等)。
5. 其他有利審查資料(無則免附)。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,國際事務學院,日本研究碩士學位學程,,2025/10/14,6,,,"1. 歷年成績單總表(大學在校成績)。
2. 自傳(中文撰寫)。
3. 研究計畫(中文撰寫)。
4. 其他有利審查資料(包含但不限於特定報考資格所列證書影本)。
5. 推薦信 2 份(二位推薦人)。
※請依序將第 1 至 4 項資料合併裝訂成冊,共一式五份(第 1 項請提供正
本一份及影本四份),推薦信另附,試後恕不退還。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,國際經營與貿易學系,,2025/10/14,24,,,"1. 考生基本資料表(限一頁,請至國貿系網頁/招生資訊/碩士班區下載,請
簽名後掃描上傳)。
2. 自傳。
3. 學習計畫。
4. 大學時期能力或成就證明(如語文成績、獲獎記錄、特殊經歷等,可縮
印)。
5. 成績單總表暨排名證明(請以正本上傳,勿加密)。
6. 推薦信 2 份(二位推薦人,推薦信格式請至國貿系網頁/招生資訊/碩士班
區參考)。
※第 2~4 項頁數合計至多 5 頁,勿做封面及目次。
※資料上傳請勿顛倒。
※第 1-5 項資料請考生自行上傳,第 6 項資料由推薦人上傳;上傳程序請詳
簡章第 7 頁。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,金融學系,金融管理組,2025/10/14,11,,,"1. 考生基本資料表（請至本系網頁下載，填寫後掃描上傳）。 
2. 歷年成績單以及排名（請以正本掃描上傳）。 
3. 自傳暨讀書計畫（詳述個人選擇至本系碩士班進修之動機、未來志趣及 自我能力評估等）。
4. 其他有利審查資料（不含推薦信），無則免附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,金融學系,財務工程與金融科技組,2025/10/14,9,,,"1. 考生基本資料表（請至本系網頁下載，填寫後掃描上傳）。 
2. 歷年成績單以及排名（請以正本掃描上傳）。 
3. 自傳暨讀書計畫（詳述個人選擇至本系碩士班進修之動機、未來志趣及 自我能力評估等）。 
4. 其他有利審查資料（不含推薦信），無則免附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,會計學系,會計甲組,2025/10/14,23,,,"1.考生基本資料表（請至本系網頁下載，親筆填寫後掃描上傳）。 
2.自傳暨讀書計畫（詳述個人選擇至本系碩士班進修之動機、未來志趣及自 我能力評估等）。 
3.歷年成績單暨排名證明（請以正本掃描上傳；具全職工作經驗兩年以上年 資者，可免附排名證明）。 
4.語言能力檢定證明（考生於報考時應繳交兩年內，即2023年10月以後有 效之英語檢定測驗成績證明，僅限TOEFL-iBT、TOEIC、IELTS或全民英 檢成績。若考生有其他外國語言之檢定測驗成績證明，亦可一併繳交，以 供參考。具全職工作經驗兩年以上年資者，可免附本項資料）。 
5.其他有利審查資料（本系不收推薦信）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,會計學系,會計乙組,2025/10/14,2,,,"1.考生基本資料表（請至本系網頁下載，親筆填寫後掃描上傳）。 
2.自傳暨讀書計畫（詳述個人選擇至本系碩士班進修之動機、未來志趣及自
我能力評估等）。 
3.歷年成績單暨排名證明（請以正本掃描上傳；具全職工作經驗兩年以上年
資者，可免附排名證明）。 
4.語言能力檢定證明（考生於報考時應繳交兩年內，即2023年10月以後有
效之英語檢定測驗成績證明，僅限TOEFL-iBT、TOEIC、IELTS或全民英
檢成績。若考生有其他外國語言之檢定測驗成績證明，亦可一併繳交，以
供參考。具全職工作經驗兩年以上年資者，可免附本項資料）。 
5.其他有利審查資料（本系不收推薦信）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,會計學系,稅務組,2025/10/14,14,,,"1.考生基本資料表（請至本系網頁下載，親筆填寫後掃描上傳）。 
2.自傳暨讀書計畫（詳述個人選擇至本系碩士班進修之動機、未來志趣及自
我能力評估等）。 
3.歷年成績單暨排名證明（請以正本掃描上傳；具全職工作經驗兩年以上年
資者，可免附排名證明）。 
4.語言能力檢定證明（考生於報考時應繳交兩年內，即2023年10月以後有
效之英語檢定測驗成績證明，僅限TOEFL-iBT、TOEIC、IELTS或全民英
檢成績。若考生有其他外國語言之檢定測驗成績證明，亦可一併繳交，以
供參考。具全職工作經驗兩年以上年資者，可免附本項資料）。 
5.其他有利審查資料（本系不收推薦信）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,統計學系,一般生組,2025/10/14,15,,,"1. 自傳。 
2. 學業成績總平均排名證明（需加蓋學校校印或教務處章戳；若成績單總
表有列示排名者，不用另附排名正本）。 
3. 歷年成績單總表（需加蓋學校校印或教務處章戳）。 
4. 其他有利審查資料（不含推薦信）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,統計學系,在職生組,2025/10/14,1,,,"1. 自傳（含個人簡歷、就學、工作經歷）。 
2. 學業成績總平均排名證明（需加蓋學校校印或教務處章戳；若成績單總
表有列示排名者，不用另附排名正本）。 
3. 歷年成績單總表（需加蓋學校校印或教務處章戳）。 
4. 其他有利審查資料（不含推薦信）。 
5. 在職證明書或服務機關同意報考證明書（表格請至本系網頁「招生訊息」
下載）。 
6. 工作年資證明（若第5項證明書已涵蓋工作年資，不用另附）",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,資訊管理學系,資管組 ,2025/10/14,18,,,"1. 考生基本資料表（請至本系網頁招生資訊/碩士班下載並填寫，最後一頁
需親筆簽名後掃描上傳）。 
2. 重要經歷與成就證明文件（本項目內容限基本資料表所列之相關證明文
件）。 
3. 專長能力證明文件（本項目內容限基本資料表所列之相關證明文件）。 
4. 歷年成績單總表（本項目須含班排名、系排名之排名證明，若成績單總
表未有列示排名者，請另附排名證明文件）。 
5. 其他有利審查資料：如五年一貫證明…等，無則免附。 
6. 推薦信（至多2份）。 ",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,資訊管理學系,科技組,2025/10/14,7,,,"1. 考生基本資料表（請至本系網頁招生資訊/碩士班下載並填寫，最後一頁
需親筆簽名後掃描上傳）。 
2. 重要經歷與成就證明文件（本項目內容限基本資料表所列之相關證明文
件）。 
3. 專長能力證明文件（本項目內容限基本資料表所列之相關證明之文件）。 
4. 歷年成績單總表（本項目須含班排名、系排名之排名證明，若成績單總
表未有列示排名者，請另附排名證明文件）。 
5. 其他有利審查資料：如五年一貫證明…等，無則免附。 
6. 推薦信（至多2份）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,財務管理學系,,2025/10/14,21,,,"1. 考生基本資料表（含其他有利審查資料：如GRE、GMAT、TOEFL或
TOEIC成績等，請至本系網頁下載並填寫）。 
2. 學業成績總平均排名證明。 
3. 歷年成績單總表。 
4. 自傳。 
5. 研究計畫。 
6. 推薦信1份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,風險管理與保險學系,法律組,2025/10/14,5,,,"1. 學業成績總平均排名證明。 
2. 歷年成績單總表。 
3. 自傳。 
4. 讀書計畫。 
5. 其他有利審查資料：如語言成績、大學期間自行撰寫之任何學期報告或
研究報告等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,風險管理與保險學系,管理組,2025/10/14,6,,,"1. 學業成績總平均排名證明。 
2. 歷年成績單總表。 
3. 自傳。 
4. 讀書計畫。 
5. 其他有利審查資料：如語言成績、大學期間自行撰寫之任何學期報告或
研究報告等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,風險管理與保險學系,精算科學組,2025/10/14,5,,,"1. 學業成績總平均排名證明。 
2. 歷年成績單總表。 
3. 自傳。 
4. 讀書計畫。 
5. 其他有利審查資料：如語言成績、大學期間自行撰寫之任何學期報告或
研究報告等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,風險管理與保險學系,在職生組,2025/10/14,3,,,"1. 考生基本資料表（請至本系網頁下載）。 
2. 自傳（含個人簡歷、就學、工作經歷）。 
3. 最高學歷證明及成績單（最高學歷證明請提供影本，成績單須加蓋學校
校印或教務處章戳）。 
4. 研究計畫書。 
5. 服務機關同意報考證明書（請至本系網頁下載，並請繳交工作年資證明）。 
6. 其他有利審查資料(如外語檢定、證照、著作、研究成果等）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,科技管理與智慧財產研究所,科技管理組,2025/10/14,19,,,"1. 考生資料表（請至本所網頁點選招生資訊/碩士班甄試資訊，下載甄試考
生資料表）。 
2. 學業成績總平均排名證明。 
3. 歷年成績單總表。 
4. 自傳及學習計畫。 
5. 其他有利審查資料：如英文檢定、社團活動、參加各項考試競賽、學術
（藝）活動之證明文件或課堂學習成果等。 
6. 推薦信2份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,科技管理與智慧財產研究所,智慧財產組,2025/10/14,9,,,"1. 考生資料表（請至本所網頁點選招生資訊/碩士班甄試資訊，下載甄試考
生資料表）。 
2. 學業成績總平均排名證明。 
3. 歷年成績單總表。 
4. 自傳及學習計畫。 
5. 其他有利審查資料：如英文檢定、社團活動、參加各項考試競賽、學術
（藝）活動之證明文件或課堂學習成果等。 
6. 推薦信2份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,商學院,企業管理研究所 （MBA學位學程）,A組,2025/10/14,33,,,"1. 考生基本資料表（請至本所網站下載填寫）。 
2. 歷年成績單總表（含學業成績總平均排名證明）。持研究所學歷者，可免
附排名證明，惟需同時附大學及研究所成績單總表。 
3. 讀書計畫（含學習與生涯計畫）。 
4. 其他有利審查資料，如得獎證明、專業證照、各項語文能力證明。 
5. 推薦信（至多2份，請至本所網站下載「推薦信」）。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
