school,college,department,track,deadline,quota,assessment_weights,other_req,docs_required,interview_required,written_exam_required,link_apply,note,,,,,,,,,,,,,,,,
國立政治大學,教育學院,幼兒教育研究所,,2025/10/14,8,"1. 書審50%
2. 面試50%",國內外大學學士班或研究所畢業(含應屆)；不受理同等學力。,"1. 考生基本資料表(請於本所網站下載)。
2. 學業成績單。
3. 其他有利審查資料：語文檢定證明、教師證書、研究發表或獲獎、相關工作經驗、資訊能力或其他傑出表現等，無則免附。","【參加資格】全體考生。
【面試日期】11 月 14 日(星期五)(詳細時間公布於本所網頁)
【注意事項】面試名單及相關資訊於 11 月 11 日下午 5:00 前公布於本所網頁,不另行通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,教育學院,教育行政與政策研究所,,2025/10/14,7,"1. 書審50%
2. 面試50%",國內外大學學士班或研究所畢業(含應屆)；不受理同等學力。,"1. 考生基本資料表(請至本所網頁下載使用)。
2. 學業成績單。
3. 其他有利審查資料(無則免附)。","【參加資格】全體考生。
【面試日期】11 月 7 日(星期五)(詳細時間公布於本所網頁)
【注意事項】面試名單及相關資訊於 11 月 4 日下午 5:00 前公布於本所網頁,不另行通知。",,"https：//www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,教育學院,輔導與諮商碩士學位學程,,2025/10/14,5,"1. 書審40%
2. 面試60%","一、須符合下列三項資格之一：
1. 國內大學學士班教育系、心理系、輔導諮商系等相關科系之畢業(含應屆)生，
在校學業成績總平均名次在全班前 50%以內，且總平均成績在 75 分以上，操行
成績總平均 80 分以上或相當成績之等第。
2. 國內研究所畢業(含應屆)生。
3. 境外大學學士班或研究所畢業(含應屆)生。
二、 不受理同等學力。","1. 考生資料表:請至本學程網站下載填寫。
2. 研究計畫:以 10 頁為限。
3. 學歷證明文件(最高學歷畢業證書，應屆畢業生，請附已蓋註冊章戳之學生證或在學證明)。
4. 學業成績證明:歷年成績單總表及學業成績總平均排名證明，持研究所或境外學歷者，得免附排名證明。
5. 其他有利審查資料:如已獲補助之研究計劃、參與研究、著作發表、學術成就、輔導實務經驗、外語檢定考試或其他傑出表現及得獎證明等。","【參加資格】依資料審查加權後之成績擇優選取至多 20 名參加面試。
【面試日期】11 月 14 日(星期五)(詳細時間公布於本學程網頁)
【注意事項】面試名單及相關資訊於 11 月 7 日公布於本學程網頁,不另行通知。",,"https：//www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,政治學系,,2025/10/14,9,"1. 書審40%
2. 面試60%",國內外大學學士班或研究所畢業(含應屆)；不受理同等學力。,"1. 自傳。
2. 歷年成績單總表(需加蓋學校校印或教務處章戳)。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料(至少一件)：如學術著作、研究報告或成果等。
5. 推薦信 2 份。","【參加資格】依資料審查加權後之成績擇優選取至多 18 名參加面試。
【面試日期】11 月 10 日(星期一),上午 9:00 起。
【注意事項】面試名單及相關資訊於 11 月 4 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、考試任何一項或科目零分者,不予錄取。
二、資料審查成績包含研究計畫、學術著作、研究報告或成果等審查資料。
三、符合面試資格之考生,面試時不得攜帶任何資料進入試場。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會學系,,2025/10/14,12,"1.書審40%
2.面試60%",國內外大學學士班或研究所畢業(含應屆)；不受理同等學力。,"1. 考生基本資料表(請至本系網頁點選招生資訊/碩士班下載)。
2. 研究計畫。
3. 自傳。
4. 歷年成績單總表(持研究所學歷者,需同時附大學及研究所成績單總表)。
5. 其他有利審查資料：如社團經歷、工作經驗、語言成績、全國性比賽獲獎
證書等。","【參加資格】依資料審查加權後之成績擇優選取至多26 名參加面試。
【面試日期】11 月17 日（星期一）（詳細時間公布於本系網頁）。
【注意事項】面試名單及相關資訊於11 月13 日前公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",考試任何一項或科目零分者，不予錄取。,,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,財政學系,,2025/10/14,18,"1.書審40%
2.面試60%","一、須符合下列三項資格之一：
1. 國內大學學士班畢業（含應屆）生，在校學業成績總平均名次在全系或全班前
30%以內。
2. 國內研究所畢業（含應屆）生。
3. 境外大學學士班或研究所畢業（含應屆）生。
二、不受理同等學力。","1. 學業成績總平均排名證明。 
2. 歷年成績單總表。 
3. 自傳。 
4. 讀書計畫:包含進修動機、研究興趣及生涯發展規劃等。 
5. 其他有利審查資料:如國科會暑期專題計畫、學術著作、獎學金證明、 GRE 或 TOEFL 成績、研究報告等。","【參加資格】依資料審查加權後之成績擇優選取至多30 名參加面試。
【面試日期】11 月17 日（星期一），上午9:00 起。
【注意事項】面試名單及相關資訊於面試前3 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、考試任何一項或科目零分者，不予錄取。
二、資料審查成績包含：
1. 讀書計畫及其他有利審查資料 （25%）。
2. 學業成績（學業成績總平均排名證明、歷年成績）（15%）。
三、面試成績包含：
1. 專業知識及研究經驗成績 （50%）。
2. 其他 （10%）。
四、本系碩士班修課分為稅務組及公共經濟組，入學後至少擇一為主修組別。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,公共行政學系,一般生組,2025/10/14,12,"1.書審40%
2.面試60%","一、須符合下列三項資格之一：
1. 國內大學學士班畢業（含應屆）生，在校學業成績總平均名次在全班前50%以
內。
2. 國內研究所畢業（含應屆）生。
3. 境外大學學士班或研究所畢業（含應屆）生，經報考系所主管核准報考者。
二、不受理同等學力。","1. 考生基本資料表(表格請至公行系網頁「最新消息」下載)。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 英語能力檢定證明(如 TOEIC、TOEFL、全民英檢、IELTS、CSEPT)。
5. 國科會大專學生專題研究計畫(無則免附)。
6. 研究計畫:為報考本次考試所撰寫之學術性研究計畫,內容不得與「學
術論著」重複並至少包括: (1)研究主題 (2)研究動機與目的 (3)研究範
圍與內容 (4)研究方法 (5)參考文獻。
7. 其他有利審查資料:如學術期刊文章、學術研討會文章、公共事務參與、
公益服務、國際交換生經驗、國外遊學經驗、實習經驗等資料及證明文
件。
※請依考生基本資料表內所列順序依序合併裝訂成冊,共一式三份。","【參加資格】依資料審查加權後之成績擇優選取招生名額至多2 倍人數參加
面試。
【面試日期】11 月14 日（星期五）（詳細時間本系網頁公告）
【注意事項】面試名單及相關資訊於面試前3 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","資料審查評分項目：
1. 英語能力檢定證明（10%）
2. 其他審查資料（30%）",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,公共行政學系,在職生組,2025/10/14,2,"1.書審40%
2.面試60%","一、須符合下列三項資格之一：
1. 國內大學學士班畢業並累計三年以上工作經驗（工作年資計算，一律自工作證明
書所載日期起計，算至報名截止日，不含服義務役年資）。
2. 國內研究所畢業（含應屆）生。
3. 境外大學學士班或研究所畢業（含應屆）生，經報考系所主管核准報考者。
二、取得「服務機關同意報考證明書」之在職人員。
三、不受理同等學力。","1. 考生基本資料表(表格請至公行系網頁「最新消息」下載)。
2. 歷年成績單總表。
3. 英語能力檢定證明(如 TOEIC、TOEFL、全民英檢、IELTS、CSEPT)。
4. 國科會大專學生專題研究計畫(無則免附)。
5. 研究計畫:為報考本次考試所撰寫之學術性研究計畫,內容不得與「學
術論著」重複並至少包括:(1)研究主題 (2)研究動機與目的 (3)研究範圍
與內容 (4)研究方法 (5)參考文獻。
6. 其他有利審查資料:如學術期刊文章、學術研討會文章、公共事務參與、
公益服務、個人專業工作成就等資料及證明文件。
7. 服務機關同意報考證明書(表格請至本系網頁「最新消息」下載)。
※請依考生基本資料表內所列順序依序合併裝訂成冊,共一式三份(第 7 項
請提供正本一份及影本二份)。","【參加資格】依資料審查加權後之成績擇優選取至多4 名參加面試。
【面試日期】11 月14 日（星期五）（詳細時間本系網頁公告）
【注意事項】面試名單及相關資訊於面試前3 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、資料審查評分項目：
1. 英語能力檢定證明（10%）
2. 其他審查資料（30%）
二、本碩士班在職生上課時間與一般生相同。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,地政學系,,2025/10/14,15,"1.書審40%
2.面試60%","一、 須符合下列三項資格之一：
1. 國內大學院校學士班畢業（含應屆）生.
2. 國內研究所畢業（含應屆）生。
3. 境外大學學士班或研究所畢業（含應屆）生，經報考系所主管核准報考者。
二、不受理同等學力。","1. 考生基本資料表(表格請至本系網頁下載,請繕打資料,並插入親筆簽名
之掃描檔案後,轉檔上傳)。
2. 研究計畫。
3. 學業成績總平均排名證明。
4. 歷年成績單總表。
5. 其他有利審查資料:如已發表之學術著作、社團經驗、工作經驗、語言成
績、全國性比賽獲獎證明書或特殊服務證明等。
※檔案請以 A4 格式製作,並將相關資料掃描或編輯製作成 PDF 檔案上傳。","【參加資格】依資料審查加權後之成績擇優選取至多45 名參加面試。
【面試日期】11 月8 日（星期六），上午8:10 起
【注意事項】面試名單及相關資訊於11 月5 日上午10 時公布於本系網頁，
不另行通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、 考試任何一項或科目零分者，不予錄取。
二、 資料審查成績特優考生得逕行錄取（至多7 名），不必參加面試。
三、 申請碩士班甄試入學之學生，應於「考生基本資料表」選填「土地與環境規劃
組」、「不動產管理與法制組」或「土地測量與空間資訊組」之研究主題所屬組
別，若獲錄取，所選之組別仍可依研究主題之調整有所異動。
四、 本系部分課程採英語授課。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,經濟學系,,2025/10/14,20,"1.書審50%
2.面試50%",不受理同等學力。,"1. 考生基本資料表(請至本系網頁下載使用)。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 研究計畫。
5. 其他有利審查資料:如正式發表的論文著作、國科會大專學生研究計畫
報告、外語檢定證明等。
6. 推薦信 2 份(請至本系網頁下載使用)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。","【參加資格】依資料審查加權後之成績擇優選取至多50 名參加面試。
【面試日期】11 月14 日（星期五）（詳細時間本系網頁公告）
【注意事項】面試名單及相關資訊於面試前3 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、 考試任何一項或科目零分者，不予錄取。
二、 本系部分課程採英語授課。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,民族學系,,2025/10/14,3,"1.書審30%
2.面試30%
3.筆試40%","須符合下列五項資格之一：
1.國內大學學士班應屆畢業生，在校學業成績總平均名次在全班前50%以內，操行成績總平均80分以上，或已有正式學術論文在具審查制度之平面出版刊物上發表。
2.國內大學學士班畢業生。
3.符合同等學力者：附在校學業成績證明（相當高考類科及格者免附）。
4.國內研究所畢業（含應屆）生。
5.境外大學學士班或研究所畢業（含應屆）生，經報考系所主管核准報考者。","1. 自傳。
2. 學業成績總平均排名證明(非應屆畢業生免附)。
3. 歷年成績單總表。
4. 研究計畫。
5. 學士班畢業生或同等學力應試者,若具有民族事務相關工作經驗(含偏
遠地區教師),或對民族有研究曾發表論文尤佳。
6. 其他有利審查資料:正式發表的著作及論文、田野工作證明、研究助理
證明、民族事務服務證明、少數民族語文能力證明等。
※請依序將第 1 至 6 項資料合併裝訂成冊,共一式五份(第 2 至 3 項請提
供正本一份及影本四份)。","【參加資格】全體考生。
【面試日期】11 月8 日（星期六），下午13:00 起。
【注意事項】面試相關資訊於面試前3 日公布於本系網頁。","【筆試日期】11 月8 日（星期六）10:20-12:00
【筆試科目】民族學與人類學
【注意事項】筆試相關資訊於考試前3 日公布於本系網頁。","https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",考試任何一項或科目零分者，不予錄取。,,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,國家發展研究所,一般生組,2025/10/14,5,"1.書審50%
2.面試50%","一、須符合下列二項資格之一：
1. 國內大學學士班以上畢業（含應屆），在校學業成績總平均名次在全班前50%以
內。
2. 境外大學學士班以上畢業（含應屆），經報考系所主管核准報考者。
二、不受理同等學力。","1. 自傳。
2. 學業成績總平均排名證明(大學成績)。
3. 歷年成績單總表(大學以上)。
4. 研究計畫(含生涯規劃及學習計畫)。
5. 其他有利審查資料:如學術著作、社團經歷、志工經驗、語言成績、獎學
金證明等個人能力或成就之證明文件。
6. 推薦信 2 份(二位推薦人)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。","【參加資格】依資料審查加權後之成績擇優選取至多20 名參加面試。
【面試日期】11 月15 日（星期六）（詳細時間公布於本所網頁）
【注意事項】面試名單及相關資訊於面試前3 日公布於本所網頁，不另行通
知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、 一般生名額，遇有缺額時，得流用至在職生招生名額。於報到遞補後仍有缺額，
流用至本所碩士班一般招生考試之名額。
二、 甄試入學生入學成績優秀者，入學後優先提供獎助學金。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,國家發展研究所,在職生組,2025/10/14,1,"1.書審50%
2.面試50%","一、國內及境外學歷之大學校院學士班以上畢業（含應屆）生，並工作滿3 年以上，
且符合以下條件之一者：
1. 在政府機關現任6 職等以上。
2. 在研究單位或相關法人單位擔任助理研究員職位以上。
3. 現（曾）任大型企業副理（含）以上主管之職位。大型企業指上市上櫃公司、或
與同產業上市上櫃公司規模相當之企業。
4. 現（曾）任中小型企業經理（含）以上職位。
二、取得「服務機關同意報考證明書」之在職人員。
三、不受理同等學力。","1. 自傳(含個人簡歷、就學、工作經歷)。
2. 歷年成績單總表(大學以上)。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如學術著作、社團經歷、志工經驗、語言成績、獎學
金證明等個人能力或成就之證明文件。
5. 其他:服務機關同意報考證明書(格式請至本所網頁下載)及有效工作
年資證明。
6. 推薦信 2 份(二位推薦人)。
※第 1 至 5 項資料請考生自行上傳;第 6 項資料由推薦人上傳,上傳程序
請詳簡章第 7 頁。","【參加資格】依資料審查加權後之成績擇優選取至多10 名參加面試。
【面試日期】11 月15 日（星期六）（詳細時間公布於本所網頁）。
【注意事項】面試名單及相關資訊於面試前3 日公布於本所網頁，不另行通
知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","在職生名額，遇有缺額時，得流用至一般生招生名額。於報到遞補後仍有缺額，流用
至本所碩士班一般招生考試之名額。",,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,勞工研究所,一般生組,2025/10/14,5,"1.書審60%
2.面試40%",,"1. 自傳。
2. 歷年成績單總表(最高學歷),如持研究所學歷者,需同時附大專及研究
所成績單總表。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如參與研究計畫、修習相關學程(學分、課程)、獎
學金證明、語文能力證明、學術著作、研究報告或成果、社團經驗、工
作經驗等。
※請依序將第 1 至 4 項資料合併裝訂成冊,共一式五份(第 2 項請提供正
本一份及影本四份)。","【參加資格】依資料審查加權後之成績擇優選取至多15 名參加面試。
【面試日期】11 月15 日（星期六）（詳細時間公布於本所網頁）。
【注意事項】面試名單及相關資訊將於11 月10 日公布於本所網頁，不另行
通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,勞工研究所,在職生組,2025/10/14,2,"1.書審60%
2.面試40%","應累積二年以上工作經驗（檢附勞保投保年資證明，其中不含義務役年資），在職人
員並應繳交「服務機關同意報考證明書」。","1. 考生基本資料表(請至本所網頁下載)。
2. 自傳。
3. 研究計畫(含生涯規劃及學習計畫)。
4. 其他有利審查資料:如參與研究計畫、修習相關學程(學分、課程)、獎
學金證明、語文能力證明、學術著作、研究報告或成果、社團經驗、工
作經驗等。
5. 學歷證明文件(應考學歷或最高學歷畢業證書,應屆畢業生請檢附在學
證明)。
6. 服務機關同意報考證明書(表格請至本所網頁下載;現職未滿兩年者,
請另繳交足以證明工作年資之文件,如公、勞保投保年資證明)。
7. 推薦信一份(一位推薦人)。
※請依序將第 1 至 6 項資料合併裝訂成冊,共一式五份(第 6 項請提供正
本一份及影本四份),推薦信另附。","【參加資格】依資料審查加權後之成績擇優選取至多6 名參加面試。
【面試日期】11 月15 日（星期六）（詳細時間公布於本所網頁）。
【注意事項】面試名單及相關資訊將於11 月10 日公布於本所網頁，不另行
通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,社會科學學院,社會工作研究所,一般生組,2025/10/14,6,"1.書審40%
2.面試60%",,"1. 自傳。
2. 研究計畫:包含研究動機、文獻探討及研究方法,字數以五千至一萬字為
限。
3. 歷年成績單。
4. 其他有利審查資料:如社團經歷、工作經驗、語言成績、全國性比賽獲獎
證書等。","【參加資格】依資料審查加權後之成績擇優選取至多18 名參加面試。
【面試日期】11 月14 日（星期五）（詳細時間公布於本所網頁）。
【注意事項】面試名單及相關資訊於面試前3 日於本所網頁公告，不另行通
知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、考試任何一項或科目零分者，不予錄取。
二、大學非社會工作相關科系畢業且未曾修習「社會工作實習」、「社會個案工作」
、「社會團體工作」、「社區工作」及「人類行為與社會環境」者應選修本所「社
會工作實習（選）」，並至學士班或於碩士班加修三門直接服務課程（「社會個案
工作」、「社會團體工作」、「社區工作」或「人類行為與社會環境」），上述加修之
學分不列為本所畢業學分。",,,,,,,,,,,,,,,,
